Category,Item,Response,Frequency,Percentage
Role Perception,EFL & Moral Class Separation,Separate (Agree),35,70.0
Role Perception,EFL & Moral Class Separation,Integrated (Disagree),15,30.0
Core Values,Core Value Priority,Global Citizenship,35,70.0
Core Values,Core Value Priority,Empathy,7,14.0
Core Values,Core Value Priority,Respect,5,10.0
Core Values,Core Value Priority,Honesty,3,6.0
Curriculum,Curriculum Adequacy,Inadequate,40,80.0
Curriculum,Curriculum Adequacy,Adequate,10,20.0
Technique,Preferred Technique,Debates,23,46.0
Technique,Preferred Technique,Storytelling,15,30.0
Technique,Preferred Technique,Role-playing,7,14.0
Technique,Preferred Technique,Group work,5,10.0
Material,Preferred Material,Videos,25,50.0
Material,Preferred Material,News,15,30.0
Material,Preferred Material,Articles,10,20.0
Obstacle,Primary Obstacle,Student resistance,25,50.0
Obstacle,Primary Obstacle,Time constraints,15,30.0
Obstacle,Primary Obstacle,Lack of training,10,20.0
