Teacher_ID,Perception_Role_Separation,Core_Value_Priority,Curriculum_Adequacy,Preferred_Technique,Preferred_Material,Primary_Obstacle
T_01,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_02,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_03,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_04,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_05,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_06,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_07,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_08,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_09,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_10,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_11,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_12,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_13,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_14,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_15,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_16,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_17,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_18,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_19,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_20,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_21,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_22,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_23,Separate (Agree),Global Citizenship,Inadequate,Debates,Videos,Student resistance
T_24,Separate (Agree),Global Citizenship,Inadequate,Storytelling,Videos,Student resistance
T_25,Separate (Agree),Global Citizenship,Inadequate,Storytelling,Videos,Student resistance
T_26,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_27,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_28,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_29,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_30,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_31,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_32,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_33,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_34,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_35,Separate (Agree),Global Citizenship,Inadequate,Storytelling,News,Time constraints
T_36,Integrated (Disagree),Empathy,Inadequate,Storytelling,News,Time constraints
T_37,Integrated (Disagree),Empathy,Inadequate,Storytelling,News,Time constraints
T_38,Integrated (Disagree),Empathy,Inadequate,Storytelling,News,Time constraints
T_39,Integrated (Disagree),Empathy,Inadequate,Role-playing,News,Time constraints
T_40,Integrated (Disagree),Empathy,Inadequate,Role-playing,News,Time constraints
T_41,Integrated (Disagree),Empathy,Adequate,Role-playing,Articles,Lack of training
T_42,Integrated (Disagree),Empathy,Adequate,Role-playing,Articles,Lack of training
T_43,Integrated (Disagree),Respect,Adequate,Role-playing,Articles,Lack of training
T_44,Integrated (Disagree),Respect,Adequate,Role-playing,Articles,Lack of training
T_45,Integrated (Disagree),Respect,Adequate,Role-playing,Articles,Lack of training
T_46,Integrated (Disagree),Respect,Adequate,Group work,Articles,Lack of training
T_47,Integrated (Disagree),Respect,Adequate,Group work,Articles,Lack of training
T_48,Integrated (Disagree),Honesty,Adequate,Group work,Articles,Lack of training
T_49,Integrated (Disagree),Honesty,Adequate,Group work,Articles,Lack of training
T_50,Integrated (Disagree),Honesty,Adequate,Group work,Articles,Lack of training
