item,response,frequency,denominator,percent
Q1 responsibility,Fully / considerably responsible,14,20,70.0
Q2 essential value,Global citizenship,14,20,70.0
Q2 essential value,Empathy,3,20,15.0
Q2 essential value,Respect,2,20,10.0
Q2 essential value,Honesty,1,20,5.0
Q3 curriculum guidance,No (insufficient guidance),16,20,80.0
Q3 curriculum guidance,Yes (sufficient guidance),4,20,20.0
Q5 effective technique,Debates,9,20,45.0
Q5 effective technique,Storytelling,6,20,30.0
Q5 effective technique,Role-playing,3,20,15.0
Q5 effective technique,Group work,2,20,10.0
Q7 main obstacle,Student resistance,10,20,50.0
Q7 main obstacle,Time constraints,6,20,30.0
Q7 main obstacle,Lack of training,4,20,20.0
